fingerprint_type,fingerprint_value,associated_tag,bayse_investigator_link
destinations_id,7356bb6017d43f7acdb45edbb604f4b2cfb52c38,hunting.site_down,https://bayse.io/site_fingerprint/destinations_id/7356bb6017d43f7acdb45edbb604f4b2cfb52c38
structural_id,6494ca18f74f4aa08c9ee2b1c0a72ac94459cb21,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/6494ca18f74f4aa08c9ee2b1c0a72ac94459cb21
structural_id,052d8e964ae46f8ed09e7f1114a71aa0301a4a61,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/052d8e964ae46f8ed09e7f1114a71aa0301a4a61
structural_id,1379dff2256725d1ab48839f8d64fcf908f30ab7,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/1379dff2256725d1ab48839f8d64fcf908f30ab7
structural_id,6dedb039bf131d70f7ea3266a2a58211f7050b50,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/6dedb039bf131d70f7ea3266a2a58211f7050b50
structural_id,a3f38647321a093b93110b46fc88712fb3321a86,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/a3f38647321a093b93110b46fc88712fb3321a86
structural_id,70beb36f4ba2a73b04689a1a9e81fa2db763e164,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/70beb36f4ba2a73b04689a1a9e81fa2db763e164
structural_id,dc5964cdc8573966f968e4fccae27309bcfe8bf3,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/dc5964cdc8573966f968e4fccae27309bcfe8bf3
structural_id,64024765ebd2707c4312c31229165380279394d1,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/64024765ebd2707c4312c31229165380279394d1
structural_id,499bc9a79748bc94b8b046b8a5cf13b360cf8a2f,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/499bc9a79748bc94b8b046b8a5cf13b360cf8a2f
structural_id,bccedf6cfc3bc365b7825b110a909bb806ced1b6,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/bccedf6cfc3bc365b7825b110a909bb806ced1b6
structural_id,2bdb491ec4cd538f7b36f070896758d703b1c227,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/2bdb491ec4cd538f7b36f070896758d703b1c227
structural_id,035714f2708ab762da42424aabf8c3ada6f3c7f2,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/035714f2708ab762da42424aabf8c3ada6f3c7f2
structural_id,2c71307f26449ca1f915e3ea6d33a9880c4f3c38,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/2c71307f26449ca1f915e3ea6d33a9880c4f3c38
structural_id,580f92d9b8aa4401eab771b5444e34acee5063a0,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/580f92d9b8aa4401eab771b5444e34acee5063a0
structural_id,50372dce73d857397a1f086ec6d9b64958c56699,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/50372dce73d857397a1f086ec6d9b64958c56699
structural_id,2de0dcbeff9d76b5cbaf16768cb79083e6b2e11a,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/2de0dcbeff9d76b5cbaf16768cb79083e6b2e11a
structural_id,84943595fb325de79a70c2e7a96616ec28ca7976,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/84943595fb325de79a70c2e7a96616ec28ca7976
structural_id,ce50e6813df7f692f1403f1c927f4d1ea05e8d83,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/ce50e6813df7f692f1403f1c927f4d1ea05e8d83
structural_id,3f651511040b396310e56309767026a078331693,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/3f651511040b396310e56309767026a078331693
structural_id,84f45ae61b76342941b893e1abed7db2b69462f5,hunting.site_down,https://bayse.io/site_fingerprint/structural_id/84f45ae61b76342941b893e1abed7db2b69462f5
